1,6,18
1,9,21
1,17,9
1,18,17
1,21,6
2,7,15
2,15,21
2,16,7
2,21,16
3,4,23
3,11,4
3,15,11
3,18,15
3,23,18
4,11,13
4,13,22
4,22,25
4,25,23
5,7,24
5,13,20
5,15,7
5,20,15
5,24,13
6,15,18
6,21,15
7,8,12
7,12,24
7,16,8
8,14,22
8,16,14
8,22,12
9,14,19
9,17,25
9,19,21
9,25,14
11,15,20
11,20,13
12,22,24
13,24,22
14,16,19
14,25,22
16,21,19
17,18,23
17,23,25
